supplier_id,supplier_code,supplier_name,supplier_type,gst_number,pan_number,email,phone_number,contact_person,address_line_1,address_line_2,city,state,country,postal_code,payment_terms_id,bank_name,bank_account_number,ifsc_code,supplier_status,created_date,modified_date
1,SUP00001,"Sem, Tiwari and Bahri",Service Provider,30JAEOX4834R3ZO,OVPMU6048Y,hsinha@ramachandran.com,+910603496673,Lekha Narang,"107
Swamy Street",,Jaipur,Rajasthan,India,937994,8,ICICI Bank,4832326800561200,ICIC0619106,Active,2019-06-19,2023-12-11
2,SUP00002,Srivastava Group,Raw Material Supplier,35GFFYL3257T8ZL,AJMWL0206U,nmohan@viswanathan-ahuja.com,03462182184,Turvi Chokshi,"63/559, Lal Ganj",,Chennai,Tamil Nadu,India,058428,5,ICICI Bank,2463912037195425,ICIC0399849,Active,2018-08-11,2022-09-03
3,SUP00003,Khare PLC,Service Provider,23OVJDA4506G1ZN,YNXND2467Y,ladli26@ratti-sarkar.info,4269413305,Anirudh Borde,"97, Khatri Chowk",Suite 13,Bengaluru,Karnataka,India,821437,7,Yes Bank,2408273431211078,YES 0411014,Active,2022-09-21,2025-04-15
4,SUP00004,Aggarwal-Pingle,Logistics Provider,36VMBJV4436T1ZQ,TJGUU9188C,krishnasankaran@bawa.biz,08339970911,Raghav Doshi,"89, Swamy Circle",Suite 48,New Delhi,Delhi,India,524254,3,Axis Bank,16651740995082,AXIS0375196,Active,2025-10-02,2026-05-01
5,SUP00005,Andra-Bobal,Service Provider,29MNOLA9144U7Z6,PLGWX8797L,grewalyauvani@gupta.com,00209746201,Jagrati Yohannan,"33
Sampath Circle",,Pune,Maharashtra,India,533805,5,HDFC Bank,62942011516611,HDFC0834459,Active,2024-02-16,2025-08-20
6,SUP00006,"Walia, Ghosh and Bail",Equipment Vendor,37CFOVN6033V5Z0,AMXUP1909Y,wakeeta72@bahl-mammen.com,+919891463750,Oscar Lanka,"22, Tella Circle",Suite 31,Pune,Maharashtra,India,338847,5,Axis Bank,34292154817332,AXIS0810078,Active,2018-06-18,2021-01-21
7,SUP00007,"Patil, Butala and Khatri",Logistics Provider,07QMOJF4331A6Z6,FAFWI6264X,wgokhale@pathak.biz,0313885841,Wriddhish Samra,"33
Gour Road",Suite 23,Mumbai,Maharashtra,India,637740,5,Yes Bank,643881676982,YES 0418888,Active,2021-09-30,2023-11-16
8,SUP00008,"Shanker, Jha and Banik",Equipment Vendor,18XFZTF1023G7Z6,FEXJY7507Y,ria42@kanda.com,00094973738,Christopher Bala,"757
Ramachandran Path",,Coimbatore,Tamil Nadu,India,914154,8,HDFC Bank,03156827952,HDFC0105796,Active,2023-01-07,2024-06-16
9,SUP00009,"Shanker, Dash and Issac",Raw Material Supplier,09NQQFE0719B2ZW,SNBAI6213W,faras43@de.com,9438327730,Jyoti Andra,"404, Bhasin Marg",Suite 11,Noida,Uttar Pradesh,India,980397,2,Kotak Mahindra Bank,932237877233,KOTA0554390,Active,2025-06-27,2025-10-01
10,SUP00010,Tella-Yogi,Logistics Provider,12EQZWX0749F8ZH,QATZN7088O,rachana05@pal.info,7893730739,Hemani Suri,"045, Mistry Path",Floor 19,Mysuru,Karnataka,India,072320,10,IndusInd Bank,7425693919657373,INDU0635464,Active,2023-12-25,2024-03-14
